Test ID,Module,Test Scenario,Preconditions,Test Steps,Expected Result,Type,Priority,Status,Actual Result,Tester,Notes,Dev Comment
FND-001,Foundation & Install,Install buildsuite_core on a clean V16 site,Clean Frappe v16 site with ERPNext + Frappe HR installed,bench get-app buildsuite_core; bench --site <site> install-app buildsuite_core,App installs with no manual fixes or errors,Positive,High,Not Run,,,,
FND-002,Foundation & Install,App metadata correct after install,App installed,Open Installed Apps / about page,"Shows buildsuite_core, correct version, MIT licence",Positive,Medium,Not Run,,,,
FND-003,Foundation & Install,ERPNext Projects workspace suppressed,App installed,Open the desk and inspect the workspace list,ERPNext Projects workspace is hidden (BuildSuite Site Execution takes precedence),Positive,High,Not Run,,,,
FND-004,Foundation & Install,ERPNext CRM / Selling / Support workspaces suppressed,App installed,Inspect the workspace list,"CRM, Selling, Support workspaces are hidden",Positive,Medium,Not Run,,,,
FND-005,Foundation & Install,Manufacturing & Quality suppression is configurable,App installed; BuildSuite Core Settings open,Toggle the Manufacturing/Quality suppression flag in Core Settings; reload,Workspaces show/hide per the flag (for production-type customers),Positive,Medium,Not Run,,,,
FND-006,Foundation & Install,Workspace suppression survives migrate,App installed; workspaces suppressed,Run bench migrate; reload desk,Suppressed workspaces remain hidden after migrate,Positive,High,Not Run,,,,
FND-007,Foundation & Install,Public GitHub repo complete,Repo URL available,Open the repo,"README, install guide, contribution guide, and MIT LICENSE present",Positive,Medium,Not Run,,,,
FND-008,Foundation & Install,Demo site loads with seed data,Demo site URL available,Open the demo site and log in,Seed projects/tasks/stages render; walkthrough usable,Positive,Medium,Not Run,,,,
FND-009,Foundation & Install,Clean uninstall,App installed,bench uninstall-app buildsuite_core,App uninstalls without orphaned DocTypes/records or errors,Negative,Low,Not Run,,,,
FND-010,Foundation & Install,Module taxonomy registered,App installed,Inspect modules,"Site Execution + other BuildSuite modules registered, aligned to v16 workspaces",Positive,Low,Not Run,,,,
PRJ-001,Project,Create a project with all required fields,Logged in as PM/Admin,"New Project; fill name, company, dates; Save",Project saves successfully and opens,Positive,High,Pass,Project created with the data,Rugma,,
PRJ-002,Project,Project naming/ID is unique,Project exists,Create a second project; inspect IDs,Each project gets a unique ID per naming series,Positive,Medium,N/A,The project code is mandatory field,Rugma,,
PRJ-003,Project,Duplicate project code rejected,A project with code X exists,Create another project with code X,Validation error; save blocked,Negative,Medium,Pass,When tried to add another project with similar ID got error message,Rugma,,
PRJ-004,Project,Create a sub-project (recursive),Parent project has allowSubprojects ON,Open parent; + Add Subproject; create,Sub-project created with parent_project set,Positive,High,Pass,The subproject created,Rugma,,
PRJ-005,Project,Sub-project inherits company from parent,Multi-company site; parent in Company A,Create sub-project under parent,Sub-project company = parent company; field locked,Positive,High,Pass,The company is not preselected,Rugma,,
PRJ-006,Project,Subprojects gated by allowSubprojects toggle,Project with allowSubprojects OFF,Open project,No Subprojects tab; no + Add Subproject,Positive,Medium,Pass,"When we unselect ""allow subproject"" new fileld appeares for selecting parent project",Rugma,Remove the new field for selecting parent project,
PRJ-007,Project,Nested sub-projects blocked,A sub-project exists,Attempt to create a sub-project under a sub-project,Blocked — a sub-project cannot be a parent,Negative,Medium,N/A,There is no option to add subproject under subproject,Rugma,,
PRJ-008,Project,Status defaults to New,-,Create a project; check status,Status = New on create,Positive,Medium,Pass,The status are in Open not new,Rugma,The status need to be shown as per prototype,
PRJ-009,Project,Status lifecycle New -> Ongoing -> Delayed -> Completed,Project exists,Edit status through each value; Save,Each transition persists; badge colours correct,Positive,Medium,Pass,The status are not changing after saving,Rugma,The status remain open only,
PRJ-010,Project,Project progress is read-only (rolled up),Project has tasks with progress,View project progress field,Progress is read-only and reflects child rollup,Positive,High,Pass,The project progress is not reflecting according to the task update,Rugma,The project progress should be marked based on the task progress nested inside the project,
PRJ-011,Project,Company required on create,Multi-company site,Create a project without selecting company,Validation error; save blocked,Negative,High,Pass,,Rugma,,
PRJ-012,Project,Company hidden on single-company site,Only one company exists,Open New Project,Company field not shown; auto-defaults,Positive,High,Unresolved,The company need to select even though its single company,Rugma,The default company should be selected automatically even though its single or multiple,Resolved. The company is now prefilled and selectable
PRJ-013,Project,Company locked after create,Project saved,Edit project; attempt to change company,Company is read-only on edit,Positive,Medium,Unresolved,Company can edit on edit screen,Rugma,Please make the company section read only as per the prototype,Resolved. Company removed from Edit View
PRJ-014,Project,Cascade delete to all descendants,"Project with subprojects, WPs, tasks, TPEs, stages, attachments",Delete the project; confirm,All descendants removed (no orphans),Positive,High,Pass,"project should be able to delete with its all tasks. task updates, stage plans, etc. if there is no accounting or stock entry",Rugma,,
PRJ-015,Project,Seed stages from Commercial template on create,Commercial project; seed option ON,Create project with start date; open Stage Planning,6 default stages auto-created with offset dates,Positive,High,Queued,Need discussion,Rugma,,
PRJ-016,Project,Project with no template creates empty,Industrial/Other type,Create the project,No stages seeded; empty Stage Planning with manual CTA,Positive,Medium,Pass,,,,
PRJ-017,Project,start_date / end_date validation,-,Set end_date before start_date; Save,Validation error,Negative,Medium,Pass,Shows error,Rugma,,
PRJ-018,Project,Create project without name,-,Leave name blank; Save,Required-field validation error,Negative,Medium,Pass,,,,
PRJ-019,Project,Project list filters,Several projects exist,Filter list by status / type / company,List narrows correctly per each filter,Positive,Low,Pass,"The status can't be change now, need to fix that first.. [status issue solved ]",Rugma,status issue already solved ,
WP-001,Work Package,Create a work package under a project,Project exists,New Work Package; pick project; Save,WP created and linked to the project,Positive,High,Pass,,Rugma,,
WP-002,Work Package,WP requires a project,-,Create WP without a project; Save,Validation error,Negative,High,Pass,Workpackage can't be craeted without project ,Rugma,,
WP-003,Work Package,WP company auto-derived from project,Multi-company project,Create WP under it,Company derived from project; not editable,Positive,Medium,N/A,There is no company field,Rugma,,
WP-004,Work Package,WP progress is read-only (rolled up),WP has tasks,View WP progress,Progress reflects child-task rollup; read-only,Positive,Medium,Pass,The progress is depending on the task progress nested under,Rugma,,
WP-005,Work Package,Cascade delete WP -> tasks -> TPEs -> attachments,"WP with tasks, TPEs, attachments",Delete the WP; confirm,"All child tasks, their TPEs, and attachments removed",Positive,High,N/A,"The task linked WP cant be deleted, the WP without any task can delete",Rugma,,
WP-006,Work Package,WP appears in project detail tab,WP under a project,Open project; Work Packages tab,WP listed with budget/progress,Positive,Low,Pass,,Rugma,,
WP-007,Work Package,Edit WP fields,WP exists,Edit budget/owner/dates; Save,Changes persist,Positive,Medium,Pass,We have to remove owner fields both list and wpscreen,Rugma,,
TSK-001,Task,Create a task under a work package,WP exists,New Task; pick project + WP; Save,Task created under the WP,Positive,High,Pass,,Rugma,,
